"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Autauga County, AL"	"01001"	Suppressed	55347	Suppressed	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	45	203709	22.1	16.1	29.6	3.3
	"Barbour County, AL"	"01005"	Suppressed	26489	Suppressed	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22583	Suppressed	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	10	57673	Unreliable	8.3	31.9	5.5
	"Bullock County, AL"	"01011"	Suppressed	10696	Suppressed	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20154	Suppressed	Suppressed	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	24	115620	20.8	13.3	30.9	4.2
	"Chambers County, AL"	"01017"	Suppressed	34123	Suppressed	Suppressed	Suppressed	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25859	Suppressed	Suppressed	Suppressed	Suppressed
	"Chilton County, AL"	"01021"	11	43943	Unreliable	12.5	44.8	7.5
	"Choctaw County, AL"	"01023"	Suppressed	13170	Suppressed	Suppressed	Suppressed	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	24675	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13555	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	15018	Suppressed	Suppressed	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	51211	Suppressed	Suppressed	Suppressed	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54354	Suppressed	Suppressed	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	12672	Suppressed	Suppressed	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10724	Suppressed	Suppressed	Suppressed	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37835	Suppressed	Suppressed	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13963	Suppressed	Suppressed	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	18	82005	Unreliable	13.0	34.7	5.2
	"Dale County, AL"	"01045"	Suppressed	49565	Suppressed	Suppressed	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	41131	Suppressed	Suppressed	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	12	71130	Unreliable	8.7	29.5	4.9
	"Elmore County, AL"	"01051"	13	81468	Unreliable	8.5	27.3	4.4
	"Escambia County, AL"	"01053"	Suppressed	37789	Suppressed	Suppressed	Suppressed	Suppressed
	"Etowah County, AL"	"01055"	15	103057	Unreliable	8.1	24.0	3.8
	"Fayette County, AL"	"01057"	Suppressed	16759	Suppressed	Suppressed	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31696	Suppressed	Suppressed	Suppressed	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26777	Suppressed	Suppressed	Suppressed	Suppressed
	"Greene County, AL"	"01063"	Suppressed	8479	Suppressed	Suppressed	Suppressed	Suppressed
	"Hale County, AL"	"01065"	Suppressed	15068	Suppressed	Suppressed	Suppressed	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17221	Suppressed	Suppressed	Suppressed	Suppressed
	"Houston County, AL"	"01069"	21	104173	20.2	12.5	30.8	4.4
	"Jackson County, AL"	"01071"	12	52419	Unreliable	11.8	40.0	6.6
	"Jefferson County, AL"	"01073"	97	660367	14.7	11.9	17.9	1.5
	"Lamar County, AL"	"01075"	Suppressed	13886	Suppressed	Suppressed	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	12	92596	Unreliable	6.7	22.6	3.7
	"Lawrence County, AL"	"01079"	Suppressed	33115	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, AL"	"01081"	17	156993	Unreliable	6.3	17.3	2.6
	"Limestone County, AL"	"01083"	10	91663	Unreliable	5.2	20.1	3.4
	"Lowndes County, AL"	"01085"	Suppressed	10458	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, AL"	"01087"	Suppressed	19105	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, AL"	"01089"	59	353089	16.7	12.7	21.6	2.2
	"Marengo County, AL"	"01091"	Suppressed	20028	Suppressed	Suppressed	Suppressed	Suppressed
